year;city;country;avg_temp;avg_temp_3sma
1965;Shanghai;China;16.06;16.29666667
1966;Shanghai;China;16.5;16.28
1967;Shanghai;China;16.05;16.38
1968;Shanghai;China;16.13;16.20333333
1969;Shanghai;China;15.64;16.22666667
1970;Shanghai;China;15.82;15.94
1971;Shanghai;China;16.22;15.86333333
1972;Shanghai;China;15.71;15.89333333
1973;Shanghai;China;16.32;15.91666667
1974;Shanghai;China;15.93;16.08333333
1975;Shanghai;China;16.48;15.98666667
1976;Shanghai;China;15.71;16.24333333
1977;Shanghai;China;16.17;16.04
1978;Shanghai;China;16.67;16.12
1979;Shanghai;China;16.54;16.18333333
1980;Shanghai;China;15.57;16.46
1981;Shanghai;China;15.91;16.26
1982;Shanghai;China;16.2;16.00666667
1983;Shanghai;China;16.22;15.89333333
1984;Shanghai;China;15.8;16.11
1985;Shanghai;China;16.04;16.07333333
1986;Shanghai;China;15.94;16.02
1987;Shanghai;China;16.19;15.92666667
1988;Shanghai;China;16.17;16.05666667
1989;Shanghai;China;16.24;16.1
1990;Shanghai;China;17.26;16.2
1991;Shanghai;China;16.14;16.55666667
1992;Shanghai;China;16.14;16.54666667
1993;Shanghai;China;15.98;16.51333333
1994;Shanghai;China;17.34;16.08666667
1995;Shanghai;China;16.36;16.48666667
1996;Shanghai;China;16.21;16.56
1997;Shanghai;China;16.76;16.63666667
1998;Shanghai;China;17.56;16.44333333
1999;Shanghai;China;16.68;16.84333333
2000;Shanghai;China;16.9;17
2001;Shanghai;China;16.93;17.04666667
2002;Shanghai;China;17.22;16.83666667
2003;Shanghai;China;16.74;17.01666667
2004;Shanghai;China;17.24;16.96333333
2005;Shanghai;China;16.75;17.06666667
2006;Shanghai;China;17.41;16.91
2007;Shanghai;China;17.63;17.13333333
2008;Shanghai;China;16.72;17.26333333
2009;Shanghai;China;17.01;17.25333333
2010;Shanghai;China;16.75;17.12
2011;Shanghai;China;16.52;16.82666667
2012;Shanghai;China;16.47;16.76
2013;Shanghai;China;17.86;16.58
